provider_id,provider_name,address,shopping_mall,account_owner_salesforce,account_manager_name,delivery_vertical,provider_status,lifecycle_status,orders_placed_24_30_aug,delivered_orders_24_30_aug,failed_orders_24_30_aug,rejected_by_provider_24_30_aug,cancelled_after_accept_24_30_aug,provider_name_databricks,address_databricks,in_original_sheet,completeness_note
55711,1708 Pizza di Napoli Кільцева дорога,"Київ, Кільцева дорога, 1",Respublika Park,Sviatoslav Yurchuk,Sviatoslav Yurchuk,food,active,ready_for_work,7,7,0,0,0,1708 Pizza di Napoli Кільцева дорога,"Київ, Кільцева дорога, 1",yes,
202974,Chin Chin ТРЦ Республіка,Кільцева дорога 1 03134 Kyiv Ukraine,Respublika Park,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,33,31,2,0,1,Chin Chin ТРЦ Республіка,Кільцева дорога 1 03134 Kyiv Ukraine,yes,
47134,Cinnabon Respublika Park,"Київ, Кільцева дорога, 1",Respublika Park,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,19,17,2,1,2,Cinnabon Respublika Park,"Київ, Кільцева дорога, 1",yes,
159445,"DOMINO’S PIZZA вул. Кільцева дорога, 1",Кільцева дорога 1 02000 Kyiv Ukraine,Respublika Park,Khrystyna Bukhnii,Khrystyna Bukhnii,food,active,ready_for_work,7,6,1,0,1,"DOMINO’S PIZZA вул. Кільцева дорога, 1",Кільцева дорога 1 02000 Kyiv Ukraine,yes,
177056,Greek House ТРЦ Respublika  Park,Кільцева дорога 1 02000 Kyiv Ukraine,Respublika Park,Nataliia Klymas,Nataliia Klymas,food,active,ready_for_work,68,57,11,0,3,Greek House ТРЦ Respublika  Park,Кільцева дорога 1 02000 Kyiv Ukraine,yes,
33601,Gremio Grill Республіка,"Київ, Кільцева дорога, 1",Respublika Park,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,19,17,2,0,0,Gremio Grill Республіка,"Київ, Кільцева дорога, 1",yes,
100351,KFC Республіка,"Київ, Кільцева дорога, 1",Respublika Park,Khrystyna Bukhnii,Khrystyna Bukhnii,food,active,ready_for_work,11,10,1,0,0,KFC Республіка,"Київ, Кільцева дорога, 1",yes,
203149,Let's Smash ТРЦ Республіка,Кільцева дорога 1 03134 Kyiv Ukraine,Respublika Park,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,17,17,0,0,0,Let's Smash ТРЦ Республіка,Кільцева дорога 1 03134 Kyiv Ukraine,yes,
32480,Lviv Croissants Республіка,"Київ, Кільцева дорога, 1",Respublika Park,Khrystyna Bukhnii,Khrystyna Bukhnii,food,active,ready_for_work,10,9,1,1,1,Lviv Croissants Республіка,"Київ, Кільцева дорога, 1",yes,
862492,MANGA Sushi,Кільцева дорога 1 02000 Kyiv Ukraine,Respublika Park,Taras Bulavynets,Taras Bulavynets,food,active,ready_for_work,0,0,0,0,0,MANGA Sushi,Кільцева дорога 1 02000 Kyiv Ukraine,yes,
